Combination,Unique Rows,Unique Rows Excluding Columns,Score
"LANGUAGE, OTHER_LANGUAGE, LGBT_IDENTITY",334,1485,0.8173652694610778
"LANGUAGE, OTHER_LANGUAGE, ETHNICITY_1",324,1531,0.7006172839506173
"LANGUAGE, OTHER_LANGUAGE, GENDER",326,1563,0.598159509202454
"LANGUAGE, INCOME, RACE_1",145,1481,1.910344827586207
"LANGUAGE, INCOME, CURRENT_GENDER",120,1563,1.625
"LANGUAGE, INCOME, MARITAL_STATUS",141,1443,2.234042553191489
"LANGUAGE, INCOME, EDUCATION",145,1410,2.4
"LANGUAGE, INCOME, EMPLOYMENT",146,1422,2.3013698630136985
"LANGUAGE, INCOME, LGBT_IDENTITY",135,1473,2.111111111111111
"LANGUAGE, INCOME, ETHNICITY_1",117,1548,1.794871794871795
"LANGUAGE, INCOME, GENDER",105,1559,1.8952380952380952
"LANGUAGE, RACE_1, CURRENT_GENDER",82,1687,0.8658536585365854
"LANGUAGE, RACE_1, MARITAL_STATUS",109,1637,1.110091743119266
"LANGUAGE, RACE_1, EDUCATION",102,1596,1.588235294117647
"LANGUAGE, RACE_1, EMPLOYMENT",110,1638,1.0909090909090908
"LANGUAGE, RACE_1, LGBT_IDENTITY",89,1640,1.3258426966292134
"LANGUAGE, RACE_1, ETHNICITY_1",85,1665,1.0941176470588236
"LANGUAGE, RACE_1, GENDER",77,1682,0.987012987012987
"LANGUAGE, CURRENT_GENDER, MARITAL_STATUS",95,1705,0.5578947368421052
"LANGUAGE, CURRENT_GENDER, EDUCATION",92,1663,1.0326086956521738
"LANGUAGE, CURRENT_GENDER, EMPLOYMENT",88,1705,0.6022727272727273
"LANGUAGE, CURRENT_GENDER, LGBT_IDENTITY",81,1701,0.7037037037037037
"LANGUAGE, CURRENT_GENDER, ETHNICITY_1",75,1731,0.36
"LANGUAGE, CURRENT_GENDER, GENDER",63,1673,1.3492063492063493
"LANGUAGE, MARITAL_STATUS, EDUCATION",117,1610,1.264957264957265
"LANGUAGE, MARITAL_STATUS, EMPLOYMENT",107,1643,1.074766355140187
"LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",106,1651,1.009433962264151
"LANGUAGE, MARITAL_STATUS, ETHNICITY_1",91,1696,0.6813186813186813
"LANGUAGE, MARITAL_STATUS, GENDER",96,1702,0.5833333333333334
"LANGUAGE, EDUCATION, EMPLOYMENT",113,1600,1.3982300884955752
"LANGUAGE, EDUCATION, LGBT_IDENTITY",94,1611,1.5638297872340425
"LANGUAGE, EDUCATION, ETHNICITY_1",88,1650,1.2272727272727273
"LANGUAGE, EDUCATION, GENDER",84,1659,1.1785714285714286
"LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",103,1655,1.0
"LANGUAGE, EMPLOYMENT, ETHNICITY_1",96,1690,0.7083333333333334
"LANGUAGE, EMPLOYMENT, GENDER",84,1700,0.6904761904761905
"LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",78,1690,0.8717948717948718
"LANGUAGE, LGBT_IDENTITY, GENDER",78,1702,0.717948717948718
"LANGUAGE, ETHNICITY_1, GENDER",72,1726,0.4444444444444444
"OTHER_LANGUAGE, INCOME, RACE_1",439,1181,1.3143507972665147
"OTHER_LANGUAGE, INCOME, CURRENT_GENDER",421,1335,1.004750593824228
"OTHER_LANGUAGE, INCOME, MARITAL_STATUS",465,1164,1.2774193548387096
"OTHER_LANGUAGE, INCOME, EDUCATION",468,1131,1.3397435897435896
"OTHER_LANGUAGE, INCOME, EMPLOYMENT",479,1131,1.3089770354906054
"OTHER_LANGUAGE, INCOME, LGBT_IDENTITY",415,1225,1.2843373493975903
"OTHER_LANGUAGE, INCOME, ETHNICITY_1",407,1286,1.1597051597051597
"OTHER_LANGUAGE, INCOME, GENDER",410,1334,1.0341463414634147
"OTHER_LANGUAGE, RACE_1, CURRENT_GENDER",300,1535,0.7433333333333333
"OTHER_LANGUAGE, RACE_1, MARITAL_STATUS",349,1439,0.9140401146131805
"OTHER_LANGUAGE, RACE_1, EDUCATION",349,1394,1.0429799426934097
"OTHER_LANGUAGE, RACE_1, EMPLOYMENT",364,1397,0.9917582417582418
"OTHER_LANGUAGE, RACE_1, LGBT_IDENTITY",311,1461,0.954983922829582
"OTHER_LANGUAGE, RACE_1, ETHNICITY_1",298,1493,0.889261744966443
"OTHER_LANGUAGE, RACE_1, GENDER",290,1533,0.7758620689655172
"OTHER_LANGUAGE, CURRENT_GENDER, MARITAL_STATUS",336,1552,0.6130952380952381
"OTHER_LANGUAGE, CURRENT_GENDER, EDUCATION",328,1523,0.7164634146341463
"OTHER_LANGUAGE, CURRENT_GENDER, EMPLOYMENT",353,1532,0.6402266288951841
"OTHER_LANGUAGE, CURRENT_GENDER, LGBT_IDENTITY",293,1559,0.6791808873720137
"OTHER_LANGUAGE, CURRENT_GENDER, ETHNICITY_1",290,1600,0.5448275862068965
"OTHER_LANGUAGE, CURRENT_GENDER, GENDER",261,1510,0.9501915708812261
"OTHER_LANGUAGE, MARITAL_STATUS, EDUCATION",377,1429,0.8726790450928382
"OTHER_LANGUAGE, MARITAL_STATUS, EMPLOYMENT",378,1419,0.8968253968253969
"OTHER_LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",331,1473,0.8610271903323263
"OTHER_LANGUAGE, MARITAL_STATUS, ETHNICITY_1",322,1526,0.7204968944099379
"OTHER_LANGUAGE, MARITAL_STATUS, GENDER",327,1552,0.6299694189602446
"OTHER_LANGUAGE, EDUCATION, EMPLOYMENT",410,1393,0.8902439024390244
"OTHER_LANGUAGE, EDUCATION, LGBT_IDENTITY",328,1441,0.9664634146341463
"OTHER_LANGUAGE, EDUCATION, ETHNICITY_1",325,1494,0.8123076923076923
"OTHER_LANGUAGE, EDUCATION, GENDER",321,1521,0.7383177570093458
"OTHER_LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",351,1453,0.8689458689458689
"OTHER_LANGUAGE, EMPLOYMENT, ETHNICITY_1",339,1498,0.7669616519174042
"OTHER_LANGUAGE, EMPLOYMENT, GENDER",345,1530,0.6608695652173913
"OTHER_LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",288,1535,0.7743055555555556
"OTHER_LANGUAGE, LGBT_IDENTITY, GENDER",282,1565,0.6843971631205674
"OTHER_LANGUAGE, ETHNICITY_1, GENDER",283,1598,0.5653710247349824
"INCOME, RACE_1, CURRENT_GENDER",40,1541,5.425
"INCOME, RACE_1, MARITAL_STATUS",63,1413,5.476190476190476
"INCOME, RACE_1, EDUCATION",71,1398,5.070422535211268
"INCOME, RACE_1, EMPLOYMENT",68,1392,5.382352941176471
"INCOME, RACE_1, LGBT_IDENTITY",56,1452,5.464285714285714
"INCOME, RACE_1, ETHNICITY_1",42,1510,5.904761904761905
"INCOME, RACE_1, GENDER",29,1536,7.655172413793103
"INCOME, CURRENT_GENDER, MARITAL_STATUS",45,1508,5.555555555555555
"INCOME, CURRENT_GENDER, EDUCATION",39,1486,6.9743589743589745
"INCOME, CURRENT_GENDER, EMPLOYMENT",32,1492,8.3125
"INCOME, CURRENT_GENDER, LGBT_IDENTITY",45,1530,5.066666666666666
"INCOME, CURRENT_GENDER, ETHNICITY_1",37,1596,4.378378378378378
"INCOME, CURRENT_GENDER, GENDER",27,1508,9.25925925925926
"INCOME, MARITAL_STATUS, EDUCATION",71,1362,5.577464788732394
"INCOME, MARITAL_STATUS, EMPLOYMENT",78,1353,5.1923076923076925
"INCOME, MARITAL_STATUS, LGBT_IDENTITY",60,1417,5.683333333333334
"INCOME, MARITAL_STATUS, ETHNICITY_1",48,1496,5.458333333333333
"INCOME, MARITAL_STATUS, GENDER",34,1506,7.411764705882353
"INCOME, EDUCATION, EMPLOYMENT",55,1340,7.6
"INCOME, EDUCATION, LGBT_IDENTITY",50,1401,7.14
"INCOME, EDUCATION, ETHNICITY_1",40,1453,7.625
"INCOME, EDUCATION, GENDER",28,1483,9.821428571428571
"INCOME, EMPLOYMENT, LGBT_IDENTITY",69,1402,5.159420289855072
"INCOME, EMPLOYMENT, ETHNICITY_1",49,1466,5.959183673469388
"INCOME, EMPLOYMENT, GENDER",22,1486,12.363636363636363
"INCOME, LGBT_IDENTITY, ETHNICITY_1",41,1512,6.0
"INCOME, LGBT_IDENTITY, GENDER",35,1529,6.542857142857143
"INCOME, ETHNICITY_1, GENDER",22,1592,7.545454545454546
"RACE_1, CURRENT_GENDER, MARITAL_STATUS",28,1673,3.0357142857142856
"RACE_1, CURRENT_GENDER, EDUCATION",27,1645,4.185185185185185
"RACE_1, CURRENT_GENDER, EMPLOYMENT",24,1673,3.5416666666666665
"RACE_1, CURRENT_GENDER, LGBT_IDENTITY",25,1671,3.48
"RACE_1, CURRENT_GENDER, ETHNICITY_1",22,1694,2.909090909090909
"RACE_1, CURRENT_GENDER, GENDER",14,1639,8.5
"RACE_1, MARITAL_STATUS, EDUCATION",40,1585,4.325
"RACE_1, MARITAL_STATUS, EMPLOYMENT",42,1603,3.6904761904761907
"RACE_1, MARITAL_STATUS, LGBT_IDENTITY",39,1617,3.6153846153846154
"RACE_1, MARITAL_STATUS, ETHNICITY_1",24,1653,4.375
"RACE_1, MARITAL_STATUS, GENDER",18,1669,4.944444444444445
"RACE_1, EDUCATION, EMPLOYMENT",39,1574,4.717948717948718
"RACE_1, EDUCATION, LGBT_IDENTITY",35,1590,4.8
"RACE_1, EDUCATION, ETHNICITY_1",24,1619,5.791666666666667
"RACE_1, EDUCATION, GENDER",21,1641,5.571428571428571
"RACE_1, EMPLOYMENT, LGBT_IDENTITY",33,1618,4.242424242424242
"RACE_1, EMPLOYMENT, ETHNICITY_1",32,1646,3.5
"RACE_1, EMPLOYMENT, GENDER",15,1668,6.0
"RACE_1, LGBT_IDENTITY, ETHNICITY_1",21,1648,5.238095238095238
"RACE_1, LGBT_IDENTITY, GENDER",14,1672,6.142857142857143
"RACE_1, ETHNICITY_1, GENDER",12,1689,5.75
"CURRENT_GENDER, MARITAL_STATUS, EDUCATION",27,1661,3.5925925925925926
"CURRENT_GENDER, MARITAL_STATUS, EMPLOYMENT",26,1680,3.0
"CURRENT_GENDER, MARITAL_STATUS, LGBT_IDENTITY",26,1682,2.923076923076923
"CURRENT_GENDER, MARITAL_STATUS, ETHNICITY_1",19,1719,2.0526315789473686
"CURRENT_GENDER, MARITAL_STATUS, GENDER",16,1653,6.5625
"CURRENT_GENDER, EDUCATION, EMPLOYMENT",18,1651,5.944444444444445
"CURRENT_GENDER, EDUCATION, LGBT_IDENTITY",21,1651,5.095238095238095
"CURRENT_GENDER, EDUCATION, ETHNICITY_1",19,1688,3.6842105263157894
"CURRENT_GENDER, EDUCATION, GENDER",18,1626,7.333333333333333
"CURRENT_GENDER, EMPLOYMENT, LGBT_IDENTITY",24,1683,3.125
"CURRENT_GENDER, EMPLOYMENT, ETHNICITY_1",19,1714,2.3157894736842106
"CURRENT_GENDER, EMPLOYMENT, GENDER",16,1653,6.5625
"CURRENT_GENDER, LGBT_IDENTITY, ETHNICITY_1",23,1708,2.1739130434782608
"CURRENT_GENDER, LGBT_IDENTITY, GENDER",12,1648,9.166666666666666
"CURRENT_GENDER, ETHNICITY_1, GENDER",11,1679,7.181818181818182
"MARITAL_STATUS, EDUCATION, EMPLOYMENT",36,1576,5.055555555555555
"MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",36,1603,4.305555555555555
"MARITAL_STATUS, EDUCATION, ETHNICITY_1",25,1648,4.4
"MARITAL_STATUS, EDUCATION, GENDER",16,1660,6.125
"MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",34,1623,3.9705882352941178
"MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",27,1667,3.3703703703703702
"MARITAL_STATUS, EMPLOYMENT, GENDER",16,1677,5.0625
"MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",21,1672,4.095238095238095
"MARITAL_STATUS, LGBT_IDENTITY, GENDER",17,1684,4.352941176470588
"MARITAL_STATUS, ETHNICITY_1, GENDER",6,1716,7.0
"EDUCATION, EMPLOYMENT, LGBT_IDENTITY",26,1598,6.153846153846154
"EDUCATION, EMPLOYMENT, ETHNICITY_1",21,1634,5.904761904761905
"EDUCATION, EMPLOYMENT, GENDER",10,1649,10.9
"EDUCATION, LGBT_IDENTITY, ETHNICITY_1",19,1641,6.157894736842105
"EDUCATION, LGBT_IDENTITY, GENDER",9,1656,11.333333333333334
"EDUCATION, ETHNICITY_1, GENDER",7,1684,10.571428571428571
"EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",15,1672,5.733333333333333
"EMPLOYMENT, LGBT_IDENTITY, GENDER",12,1686,6.0
"EMPLOYMENT, ETHNICITY_1, GENDER",10,1709,4.9
"LGBT_IDENTITY, ETHNICITY_1, GENDER",9,1711,5.222222222222222
"age_at_visit, LANGUAGE, OTHER_LANGUAGE, INCOME",1131,439,1.1662245800176834
"age_at_visit, LANGUAGE, OTHER_LANGUAGE, RACE_1",856,587,1.3679906542056075
"age_at_visit, LANGUAGE, OTHER_LANGUAGE, CURRENT_GENDER",824,782,1.1844660194174756
"age_at_visit, LANGUAGE, OTHER_LANGUAGE, MARITAL_STATUS",858,608,1.3403263403263403
"age_at_visit, LANGUAGE, OTHER_LANGUAGE, EDUCATION",926,556,1.2980561555075594
"age_at_visit, LANGUAGE, OTHER_LANGUAGE, EMPLOYMENT",920,575,1.2858695652173913
"age_at_visit, LANGUAGE, OTHER_LANGUAGE, LGBT_IDENTITY",839,652,1.3182359952324196
"age_at_visit, LANGUAGE, OTHER_LANGUAGE, ETHNICITY_1",766,714,1.3629242819843341
"age_at_visit, LANGUAGE, OTHER_LANGUAGE, GENDER",814,788,1.1916461916461916
"age_at_visit, LANGUAGE, INCOME, RACE_1",807,817,1.1660470879801734
"age_at_visit, LANGUAGE, INCOME, CURRENT_GENDER",719,924,1.1599443671766343
"age_at_visit, LANGUAGE, INCOME, MARITAL_STATUS",782,766,1.2685421994884911
"age_at_visit, LANGUAGE, INCOME, EDUCATION",779,775,1.2618741976893453
"age_at_visit, LANGUAGE, INCOME, EMPLOYMENT",808,759,1.2363861386138615
"age_at_visit, LANGUAGE, INCOME, LGBT_IDENTITY",718,815,1.3133704735376044
"age_at_visit, LANGUAGE, INCOME, ETHNICITY_1",625,888,1.392
"age_at_visit, LANGUAGE, INCOME, GENDER",696,928,1.1925287356321839
"age_at_visit, LANGUAGE, RACE_1, CURRENT_GENDER",442,1116,1.4524886877828054
"age_at_visit, LANGUAGE, RACE_1, MARITAL_STATUS",511,973,1.5362035225048924
"age_at_visit, LANGUAGE, RACE_1, EDUCATION",564,962,1.4113475177304964
"age_at_visit, LANGUAGE, RACE_1, EMPLOYMENT",542,934,1.5202952029520296
"age_at_visit, LANGUAGE, RACE_1, LGBT_IDENTITY",465,1007,1.6150537634408602
"age_at_visit, LANGUAGE, RACE_1, ETHNICITY_1",407,1080,1.6658476658476657
"age_at_visit, LANGUAGE, RACE_1, GENDER",428,1120,1.4906542056074767
"age_at_visit, LANGUAGE, CURRENT_GENDER, MARITAL_STATUS",448,1104,1.4598214285714286
"age_at_visit, LANGUAGE, CURRENT_GENDER, EDUCATION",466,1084,1.446351931330472
"age_at_visit, LANGUAGE, CURRENT_GENDER, EMPLOYMENT",486,1081,1.3930041152263375
"age_at_visit, LANGUAGE, CURRENT_GENDER, LGBT_IDENTITY",425,1138,1.4588235294117646
"age_at_visit, LANGUAGE, CURRENT_GENDER, ETHNICITY_1",345,1208,1.5942028985507246
"age_at_visit, LANGUAGE, CURRENT_GENDER, GENDER",268,1126,2.3582089552238807
"age_at_visit, LANGUAGE, MARITAL_STATUS, EDUCATION",559,932,1.477638640429338
"age_at_visit, LANGUAGE, MARITAL_STATUS, EMPLOYMENT",533,920,1.572232645403377
"age_at_visit, LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",469,998,1.6204690831556503
"age_at_visit, LANGUAGE, MARITAL_STATUS, ETHNICITY_1",415,1072,1.653012048192771
"age_at_visit, LANGUAGE, MARITAL_STATUS, GENDER",431,1106,1.5127610208816706
"age_at_visit, LANGUAGE, EDUCATION, EMPLOYMENT",564,901,1.5195035460992907
"age_at_visit, LANGUAGE, EDUCATION, LGBT_IDENTITY",499,987,1.5450901803607215
"age_at_visit, LANGUAGE, EDUCATION, ETHNICITY_1",424,1053,1.6627358490566038
"age_at_visit, LANGUAGE, EDUCATION, GENDER",451,1091,1.4789356984478936
"age_at_visit, LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",458,966,1.7292576419213974
"age_at_visit, LANGUAGE, EMPLOYMENT, ETHNICITY_1",405,1044,1.762962962962963
"age_at_visit, LANGUAGE, EMPLOYMENT, GENDER",469,1084,1.4371002132196162
"age_at_visit, LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",360,1100,1.8277777777777777
"age_at_visit, LANGUAGE, LGBT_IDENTITY, GENDER",406,1145,1.5098522167487685
"age_at_visit, LANGUAGE, ETHNICITY_1, GENDER",328,1212,1.6646341463414633
"age_at_visit, OTHER_LANGUAGE, INCOME, RACE_1",1181,471,1.0897544453852668
"age_at_visit, OTHER_LANGUAGE, INCOME, CURRENT_GENDER",1167,628,0.9682947729220223
"age_at_visit, OTHER_LANGUAGE, INCOME, MARITAL_STATUS",1187,457,1.0960404380791913
"age_at_visit, OTHER_LANGUAGE, INCOME, EDUCATION",1192,441,1.1048657718120805
"age_at_visit, OTHER_LANGUAGE, INCOME, EMPLOYMENT",1207,441,1.0911350455675228
"age_at_visit, OTHER_LANGUAGE, INCOME, LGBT_IDENTITY",1146,515,1.0846422338568935
"age_at_visit, OTHER_LANGUAGE, INCOME, ETHNICITY_1",1054,564,1.1328273244781784
"age_at_visit, OTHER_LANGUAGE, INCOME, GENDER",1155,635,0.9722943722943723
"age_at_visit, OTHER_LANGUAGE, RACE_1, CURRENT_GENDER",829,790,1.1676718938480097
"age_at_visit, OTHER_LANGUAGE, RACE_1, MARITAL_STATUS",884,615,1.2929864253393666
"age_at_visit, OTHER_LANGUAGE, RACE_1, EDUCATION",926,616,1.2332613390928726
"age_at_visit, OTHER_LANGUAGE, RACE_1, EMPLOYMENT",910,585,1.289010989010989
"age_at_visit, OTHER_LANGUAGE, RACE_1, LGBT_IDENTITY",842,685,1.2743467933491686
"age_at_visit, OTHER_LANGUAGE, RACE_1, ETHNICITY_1",779,726,1.3247753530166881
"age_at_visit, OTHER_LANGUAGE, RACE_1, GENDER",822,795,1.1715328467153285
"age_at_visit, OTHER_LANGUAGE, CURRENT_GENDER, MARITAL_STATUS",864,805,1.1030092592592593
"age_at_visit, OTHER_LANGUAGE, CURRENT_GENDER, EDUCATION",892,769,1.108744394618834
"age_at_visit, OTHER_LANGUAGE, CURRENT_GENDER, EMPLOYMENT",884,767,1.1210407239819005
"age_at_visit, OTHER_LANGUAGE, CURRENT_GENDER, LGBT_IDENTITY",820,840,1.1195121951219513
"age_at_visit, OTHER_LANGUAGE, CURRENT_GENDER, ETHNICITY_1",752,903,1.136968085106383
"age_at_visit, OTHER_LANGUAGE, CURRENT_GENDER, GENDER",677,831,1.3692762186115215
"age_at_visit, OTHER_LANGUAGE, MARITAL_STATUS, EDUCATION",939,602,1.2310969116080936
"age_at_visit, OTHER_LANGUAGE, MARITAL_STATUS, EMPLOYMENT",924,592,1.2619047619047619
"age_at_visit, OTHER_LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",853,691,1.2508792497069168
"age_at_visit, OTHER_LANGUAGE, MARITAL_STATUS, ETHNICITY_1",796,743,1.2751256281407035
"age_at_visit, OTHER_LANGUAGE, MARITAL_STATUS, GENDER",858,812,1.1025641025641026
"age_at_visit, OTHER_LANGUAGE, EDUCATION, EMPLOYMENT",965,537,1.2652849740932643
"age_at_visit, OTHER_LANGUAGE, EDUCATION, LGBT_IDENTITY",901,665,1.2130965593784684
"age_at_visit, OTHER_LANGUAGE, EDUCATION, ETHNICITY_1",832,695,1.2776442307692308
"age_at_visit, OTHER_LANGUAGE, EDUCATION, GENDER",883,775,1.1132502831257078
"age_at_visit, OTHER_LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",888,647,1.2511261261261262
"age_at_visit, OTHER_LANGUAGE, EMPLOYMENT, ETHNICITY_1",821,707,1.2801461632155908
"age_at_visit, OTHER_LANGUAGE, EMPLOYMENT, GENDER",875,772,1.1268571428571428
"age_at_visit, OTHER_LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",765,803,1.2483660130718954
"age_at_visit, OTHER_LANGUAGE, LGBT_IDENTITY, GENDER",814,858,1.1056511056511056
"age_at_visit, OTHER_LANGUAGE, ETHNICITY_1, GENDER",745,910,1.138255033557047
"age_at_visit, INCOME, RACE_1, CURRENT_GENDER",733,924,1.1377899045020463
"age_at_visit, INCOME, RACE_1, MARITAL_STATUS",778,769,1.2712082262210798
"age_at_visit, INCOME, RACE_1, EDUCATION",807,759,1.237918215613383
"age_at_visit, INCOME, RACE_1, EMPLOYMENT",816,734,1.2549019607843137
"age_at_visit, INCOME, RACE_1, LGBT_IDENTITY",736,813,1.283967391304348
"age_at_visit, INCOME, RACE_1, ETHNICITY_1",623,867,1.4301765650080256
"age_at_visit, INCOME, RACE_1, GENDER",710,928,1.1690140845070423
"age_at_visit, INCOME, CURRENT_GENDER, MARITAL_STATUS",714,872,1.2408963585434174
"age_at_visit, INCOME, CURRENT_GENDER, EDUCATION",757,876,1.165125495376486
"age_at_visit, INCOME, CURRENT_GENDER, EMPLOYMENT",748,864,1.195187165775401
"age_at_visit, INCOME, CURRENT_GENDER, LGBT_IDENTITY",617,930,1.3419773095623988
"age_at_visit, INCOME, CURRENT_GENDER, ETHNICITY_1",507,995,1.504930966469428
"age_at_visit, INCOME, CURRENT_GENDER, GENDER",371,941,2.202156334231806
"age_at_visit, INCOME, MARITAL_STATUS, EDUCATION",777,711,1.3474903474903475
"age_at_visit, INCOME, MARITAL_STATUS, EMPLOYMENT",774,701,1.3656330749354004
"age_at_visit, INCOME, MARITAL_STATUS, LGBT_IDENTITY",686,758,1.4577259475218658
"age_at_visit, INCOME, MARITAL_STATUS, ETHNICITY_1",626,834,1.476038338658147
"age_at_visit, INCOME, MARITAL_STATUS, GENDER",696,879,1.2629310344827587
"age_at_visit, INCOME, EDUCATION, EMPLOYMENT",778,693,1.3688946015424164
"age_at_visit, INCOME, EDUCATION, LGBT_IDENTITY",715,778,1.3706293706293706
"age_at_visit, INCOME, EDUCATION, ETHNICITY_1",626,837,1.4712460063897763
"age_at_visit, INCOME, EDUCATION, GENDER",737,882,1.1886024423337855
"age_at_visit, INCOME, EMPLOYMENT, LGBT_IDENTITY",721,752,1.3952843273231623
"age_at_visit, INCOME, EMPLOYMENT, ETHNICITY_1",624,819,1.5048076923076923
"age_at_visit, INCOME, EMPLOYMENT, GENDER",730,864,1.2246575342465753
