Combination,Unique Rows,Unique Rows Excluding Columns,Score
"age, sexual_attraction_F, religious_upbringing",72,200,4.388888888888889
"age, sexual_attraction_F, religious_now",70,223,4.185714285714286
"age, background_SES, sexual_attraction_M",253,114,1.5889328063241106
"age, background_SES, gender_identity_M",245,115,1.636734693877551
"age, background_SES, sex",118,143,3.1610169491525424
"age, background_SES, education_level",176,100,2.3636363636363638
"age, background_SES, gender_identity_F",233,104,1.7682403433476395
"age, background_SES, handedness",92,130,4.195652173913044
"age, background_SES, religious_upbringing",97,114,4.144329896907217
"age, background_SES, religious_now",109,124,3.596330275229358
"age, sexual_attraction_M, gender_identity_M",116,226,2.5
"age, sexual_attraction_M, sex",62,257,4.17741935483871
"age, sexual_attraction_M, education_level",108,197,2.9537037037037037
"age, sexual_attraction_M, gender_identity_F",114,209,2.692982456140351
"age, sexual_attraction_M, handedness",67,236,4.17910447761194
"age, sexual_attraction_M, religious_upbringing",69,207,4.478260869565218
"age, sexual_attraction_M, religious_now",70,221,4.214285714285714
"age, gender_identity_M, sex",43,240,6.4186046511627906
"age, gender_identity_M, education_level",100,176,3.4
"age, gender_identity_M, gender_identity_F",86,186,3.8372093023255816
"age, gender_identity_M, handedness",59,218,5.0508474576271185
"age, gender_identity_M, religious_upbringing",74,199,4.283783783783784
"age, gender_identity_M, religious_now",71,214,4.253521126760563
"age, sex, education_level",17,212,17.88235294117647
"age, sex, gender_identity_F",39,228,7.384615384615385
"age, sex, handedness",13,251,20.384615384615383
"age, sex, religious_upbringing",2,228,144.0
"age, sex, religious_now",6,239,46.166666666666664
"age, education_level, gender_identity_F",105,166,3.3333333333333335
"age, education_level, handedness",28,192,11.571428571428571
"age, education_level, religious_upbringing",17,181,19.705882352941178
"age, education_level, religious_now",22,195,14.590909090909092
"age, gender_identity_F, handedness",58,207,5.327586206896552
"age, gender_identity_F, religious_upbringing",69,192,4.695652173913044
"age, gender_identity_F, religious_now",64,196,5.0
"age, handedness, religious_upbringing",13,210,23.53846153846154
"age, handedness, religious_now",12,224,24.333333333333332
"age, religious_upbringing, religious_now",9,202,34.888888888888886
"sexual_attraction_F, background_SES, sexual_attraction_M",45,304,4.711111111111111
"sexual_attraction_F, background_SES, gender_identity_M",62,334,2.935483870967742
"sexual_attraction_F, background_SES, sex",27,371,5.37037037037037
"sexual_attraction_F, background_SES, education_level",41,274,5.902439024390244
"sexual_attraction_F, background_SES, gender_identity_F",59,322,3.288135593220339
"sexual_attraction_F, background_SES, handedness",22,336,8.181818181818182
"sexual_attraction_F, background_SES, religious_upbringing",31,335,5.838709677419355
"sexual_attraction_F, background_SES, religious_now",18,340,9.777777777777779
"sexual_attraction_F, sexual_attraction_M, gender_identity_M",31,485,1.0
"sexual_attraction_F, sexual_attraction_M, sex",14,497,1.3571428571428572
"sexual_attraction_F, sexual_attraction_M, education_level",15,428,5.866666666666666
"sexual_attraction_F, sexual_attraction_M, gender_identity_F",35,477,1.1142857142857143
"sexual_attraction_F, sexual_attraction_M, handedness",7,487,4.142857142857143
"sexual_attraction_F, sexual_attraction_M, religious_upbringing",14,464,3.7142857142857144
"sexual_attraction_F, sexual_attraction_M, religious_now",7,481,5.0
"sexual_attraction_F, gender_identity_M, sex",15,507,0.6
"sexual_attraction_F, gender_identity_M, education_level",32,456,1.875
"sexual_attraction_F, gender_identity_M, gender_identity_F",35,494,0.6285714285714286
"sexual_attraction_F, gender_identity_M, handedness",19,499,0.8947368421052632
"sexual_attraction_F, gender_identity_M, religious_upbringing",19,485,1.631578947368421
"sexual_attraction_F, gender_identity_M, religious_now",23,493,1.0
"sexual_attraction_F, sex, education_level",9,470,5.111111111111111
"sexual_attraction_F, sex, gender_identity_F",17,511,0.29411764705882354
"sexual_attraction_F, sex, handedness",2,507,4.5
"sexual_attraction_F, sex, religious_upbringing",2,499,8.5
"sexual_attraction_F, sex, religious_now",1,505,11.0
"sexual_attraction_F, education_level, gender_identity_F",26,460,2.1538461538461537
"sexual_attraction_F, education_level, handedness",2,450,33.0
"sexual_attraction_F, education_level, religious_upbringing",4,445,17.75
"sexual_attraction_F, education_level, religious_now",4,448,17.0
"sexual_attraction_F, gender_identity_F, handedness",17,503,0.7647058823529411
"sexual_attraction_F, gender_identity_F, religious_upbringing",17,491,1.4705882352941178
"sexual_attraction_F, gender_identity_F, religious_now",18,500,0.8888888888888888
"sexual_attraction_F, handedness, religious_upbringing",1,491,25.0
"sexual_attraction_F, handedness, religious_now",2,497,9.5
"sexual_attraction_F, religious_upbringing, religious_now",2,460,28.0
"background_SES, sexual_attraction_M, gender_identity_M",56,337,3.1964285714285716
"background_SES, sexual_attraction_M, sex",25,375,5.64
"background_SES, sexual_attraction_M, education_level",42,285,5.5
"background_SES, sexual_attraction_M, gender_identity_F",58,333,3.1551724137931036
"background_SES, sexual_attraction_M, handedness",14,344,12.285714285714286
"background_SES, sexual_attraction_M, religious_upbringing",34,333,5.382352941176471
"background_SES, sexual_attraction_M, religious_now",17,340,10.352941176470589
"background_SES, gender_identity_M, sex",18,350,9.222222222222221
"background_SES, gender_identity_M, education_level",36,266,6.944444444444445
"background_SES, gender_identity_M, gender_identity_F",40,305,5.275
"background_SES, gender_identity_M, handedness",19,318,10.421052631578947
"background_SES, gender_identity_M, religious_upbringing",22,313,9.227272727272727
"background_SES, gender_identity_M, religious_now",19,314,10.631578947368421
"background_SES, sex, education_level",2,302,107.0
"background_SES, sex, gender_identity_F",13,349,12.846153846153847
"background_SES, sex, handedness",1,353,163.0
"background_SES, sex, religious_upbringing",0,352,inf
"background_SES, sex, religious_now",1,353,163.0
"background_SES, education_level, gender_identity_F",30,266,8.333333333333334
"background_SES, education_level, handedness",4,269,61.75
"background_SES, education_level, religious_upbringing",3,261,85.0
"background_SES, education_level, religious_now",3,273,81.0
"background_SES, gender_identity_F, handedness",21,316,9.523809523809524
"background_SES, gender_identity_F, religious_upbringing",22,314,9.181818181818182
"background_SES, gender_identity_F, religious_now",20,318,9.9
"background_SES, handedness, religious_upbringing",0,321,inf
"background_SES, handedness, religious_now",2,322,97.0
"background_SES, religious_upbringing, religious_now",1,301,215.0
"sexual_attraction_M, gender_identity_M, sex",17,510,0.35294117647058826
"sexual_attraction_M, gender_identity_M, education_level",27,463,1.962962962962963
"sexual_attraction_M, gender_identity_M, gender_identity_F",30,498,0.6
"sexual_attraction_M, gender_identity_M, handedness",18,500,0.8888888888888888
"sexual_attraction_M, gender_identity_M, religious_upbringing",20,488,1.4
"sexual_attraction_M, gender_identity_M, religious_now",30,498,0.6
"sexual_attraction_M, sex, education_level",7,475,5.857142857142857
"sexual_attraction_M, sex, gender_identity_F",13,512,0.3076923076923077
"sexual_attraction_M, sex, handedness",2,506,5.0
"sexual_attraction_M, sex, religious_upbringing",2,500,8.0
"sexual_attraction_M, sex, religious_now",5,506,2.0
"sexual_attraction_M, education_level, gender_identity_F",24,463,2.2083333333333335
"sexual_attraction_M, education_level, handedness",3,453,21.0
"sexual_attraction_M, education_level, religious_upbringing",2,449,33.5
"sexual_attraction_M, education_level, religious_now",7,455,8.714285714285714
"sexual_attraction_M, gender_identity_F, handedness",15,500,1.0666666666666667
"sexual_attraction_M, gender_identity_F, religious_upbringing",17,491,1.4705882352941178
"sexual_attraction_M, gender_identity_F, religious_now",24,503,0.5416666666666666
"sexual_attraction_M, handedness, religious_upbringing",3,490,8.666666666666666
"sexual_attraction_M, handedness, religious_now",1,496,20.0
"sexual_attraction_M, religious_upbringing, religious_now",2,460,28.0
"gender_identity_M, sex, education_level",5,468,9.6
"gender_identity_M, sex, gender_identity_F",12,490,2.1666666666666665
"gender_identity_M, sex, handedness",2,502,7.0
"gender_identity_M, sex, religious_upbringing",5,490,5.2
"gender_identity_M, sex, religious_now",3,498,6.0
"gender_identity_M, education_level, gender_identity_F",17,447,4.0588235294117645
"gender_identity_M, education_level, handedness",7,443,10.428571428571429
"gender_identity_M, education_level, religious_upbringing",7,436,11.428571428571429
"gender_identity_M, education_level, religious_now",4,447,17.25
"gender_identity_M, gender_identity_F, handedness",14,492,1.7142857142857142
"gender_identity_M, gender_identity_F, religious_upbringing",19,474,2.210526315789474
"gender_identity_M, gender_identity_F, religious_now",11,487,2.6363636363636362
"gender_identity_M, handedness, religious_upbringing",2,480,18.0
"gender_identity_M, handedness, religious_now",5,488,5.6
"gender_identity_M, religious_upbringing, religious_now",4,445,17.75
"sex, education_level, gender_identity_F",9,474,4.666666666666667
"sex, education_level, handedness",0,460,inf
"sex, education_level, religious_upbringing",0,455,inf
"sex, education_level, religious_now",0,460,inf
"sex, gender_identity_F, handedness",7,506,1.4285714285714286
"sex, gender_identity_F, religious_upbringing",7,496,2.857142857142857
"sex, gender_identity_F, religious_now",7,505,1.5714285714285714
"sex, handedness, religious_upbringing",0,494,inf
"sex, handedness, religious_now",0,498,inf
"sex, religious_upbringing, religious_now",0,462,inf
"education_level, gender_identity_F, handedness",6,454,10.333333333333334
"education_level, gender_identity_F, religious_upbringing",11,445,6.454545454545454
"education_level, gender_identity_F, religious_now",9,453,7.0
"education_level, handedness, religious_upbringing",0,435,inf
"education_level, handedness, religious_now",0,439,inf
"education_level, religious_upbringing, religious_now",0,416,inf
"gender_identity_F, handedness, religious_upbringing",6,488,4.666666666666667
"gender_identity_F, handedness, religious_now",5,497,3.8
"gender_identity_F, religious_upbringing, religious_now",2,455,30.5
"handedness, religious_upbringing, religious_now",0,454,inf
"age, sexual_attraction_F, background_SES, sexual_attraction_M",293,55,1.5733788395904438
"age, sexual_attraction_F, background_SES, gender_identity_M",353,83,1.226628895184136
"age, sexual_attraction_F, background_SES, sex",290,112,1.393103448275862
"age, sexual_attraction_F, background_SES, education_level",378,75,1.1666666666666667
"age, sexual_attraction_F, background_SES, gender_identity_F",346,83,1.2514450867052023
"age, sexual_attraction_F, background_SES, handedness",312,94,1.3525641025641026
"age, sexual_attraction_F, background_SES, religious_upbringing",353,91,1.2039660056657224
"age, sexual_attraction_F, background_SES, religious_now",329,90,1.2948328267477203
"age, sexual_attraction_F, sexual_attraction_M, gender_identity_M",157,141,2.388535031847134
"age, sexual_attraction_F, sexual_attraction_M, sex",110,195,2.918181818181818
"age, sexual_attraction_F, sexual_attraction_M, education_level",150,125,2.6066666666666665
"age, sexual_attraction_F, sexual_attraction_M, gender_identity_F",160,136,2.375
"age, sexual_attraction_F, sexual_attraction_M, handedness",117,171,2.948717948717949
"age, sexual_attraction_F, sexual_attraction_M, religious_upbringing",119,145,3.1176470588235294
"age, sexual_attraction_F, sexual_attraction_M, religious_now",117,155,3.0854700854700856
"age, sexual_attraction_F, gender_identity_M, sex",124,223,2.3629032258064515
"age, sexual_attraction_F, gender_identity_M, education_level",192,138,1.96875
"age, sexual_attraction_F, gender_identity_M, gender_identity_F",176,159,2.028409090909091
"age, sexual_attraction_F, gender_identity_M, handedness",148,197,2.1554054054054053
"age, sexual_attraction_F, gender_identity_M, religious_upbringing",169,167,2.06508875739645
"age, sexual_attraction_F, gender_identity_M, religious_now",157,195,2.0445859872611467
"age, sexual_attraction_F, sex, education_level",137,185,2.4160583941605838
"age, sexual_attraction_F, sex, gender_identity_F",126,207,2.4523809523809526
"age, sexual_attraction_F, sex, handedness",93,231,3.064516129032258
"age, sexual_attraction_F, sex, religious_upbringing",99,200,3.191919191919192
"age, sexual_attraction_F, sex, religious_now",95,223,3.0842105263157893
"age, sexual_attraction_F, education_level, gender_identity_F",207,142,1.8067632850241546
"age, sexual_attraction_F, education_level, handedness",145,167,2.406896551724138
"age, sexual_attraction_F, education_level, religious_upbringing",156,144,2.3846153846153846
"age, sexual_attraction_F, education_level, religious_now",168,169,2.0654761904761907
"age, sexual_attraction_F, gender_identity_F, handedness",154,185,2.1493506493506493
"age, sexual_attraction_F, gender_identity_F, religious_upbringing",166,165,2.1144578313253013
"age, sexual_attraction_F, gender_identity_F, religious_now",161,177,2.1055900621118013
"age, sexual_attraction_F, handedness, religious_upbringing",109,184,3.0458715596330275
"age, sexual_attraction_F, handedness, religious_now",103,202,3.0485436893203883
"age, sexual_attraction_F, religious_upbringing, religious_now",111,172,3.099099099099099
"age, background_SES, sexual_attraction_M, gender_identity_M",349,79,1.2521489971346704
"age, background_SES, sexual_attraction_M, sex",279,114,1.4408602150537635
"age, background_SES, sexual_attraction_M, education_level",379,71,1.1741424802110818
"age, background_SES, sexual_attraction_M, gender_identity_F",339,82,1.28023598820059
"age, background_SES, sexual_attraction_M, handedness",299,100,1.391304347826087
"age, background_SES, sexual_attraction_M, religious_upbringing",345,92,1.228985507246377
"age, background_SES, sexual_attraction_M, religious_now",327,95,1.2874617737003058
"age, background_SES, gender_identity_M, sex",251,113,1.6055776892430278
"age, background_SES, gender_identity_M, education_level",363,73,1.2203856749311295
"age, background_SES, gender_identity_M, gender_identity_F",293,73,1.5119453924914676
"age, background_SES, gender_identity_M, handedness",289,102,1.4325259515570934
"age, background_SES, gender_identity_M, religious_upbringing",324,88,1.3209876543209877
"age, background_SES, gender_identity_M, religious_now",317,94,1.3312302839116719
"age, background_SES, sex, education_level",330,100,1.2606060606060605
"age, background_SES, sex, gender_identity_F",238,102,1.7394957983193278
"age, background_SES, sex, handedness",200,130,1.93
"age, background_SES, sex, religious_upbringing",276,114,1.4565217391304348
"age, background_SES, sex, religious_now",240,123,1.6375
"age, background_SES, education_level, gender_identity_F",363,69,1.2314049586776858
"age, background_SES, education_level, handedness",260,94,1.623076923076923
"age, background_SES, education_level, religious_upbringing",320,82,1.35625
"age, background_SES, education_level, religious_now",299,88,1.431438127090301
"age, background_SES, gender_identity_F, handedness",282,90,1.5106382978723405
"age, background_SES, gender_identity_F, religious_upbringing",319,82,1.3605015673981191
"age, background_SES, gender_identity_F, religious_now",308,85,1.3993506493506493
"age, background_SES, handedness, religious_upbringing",163,99,2.558282208588957
"age, background_SES, handedness, religious_now",166,107,2.463855421686747
"age, background_SES, religious_upbringing, religious_now",205,96,2.048780487804878
"age, sexual_attraction_M, gender_identity_M, sex",121,226,2.396694214876033
"age, sexual_attraction_M, gender_identity_M, education_level",190,154,1.9052631578947368
"age, sexual_attraction_M, gender_identity_M, gender_identity_F",170,162,2.0823529411764707
"age, sexual_attraction_M, gender_identity_M, handedness",143,201,2.202797202797203
"age, sexual_attraction_M, gender_identity_M, religious_upbringing",158,177,2.1455696202531644
"age, sexual_attraction_M, gender_identity_M, religious_now",155,191,2.096774193548387
"age, sexual_attraction_M, sex, education_level",131,197,2.435114503816794
"age, sexual_attraction_M, sex, gender_identity_F",116,209,2.646551724137931
"age, sexual_attraction_M, sex, handedness",89,236,3.146067415730337
"age, sexual_attraction_M, sex, religious_upbringing",89,207,3.4719101123595504
"age, sexual_attraction_M, sex, religious_now",90,221,3.2777777777777777
"age, sexual_attraction_M, education_level, gender_identity_F",204,145,1.8186274509803921
"age, sexual_attraction_M, education_level, handedness",146,176,2.328767123287671
"age, sexual_attraction_M, education_level, religious_upbringing",163,159,2.1901840490797544
"age, sexual_attraction_M, education_level, religious_now",163,173,2.104294478527607
"age, sexual_attraction_M, gender_identity_F, handedness",144,185,2.298611111111111
"age, sexual_attraction_M, gender_identity_F, religious_upbringing",158,167,2.2088607594936707
"age, sexual_attraction_M, gender_identity_F, religious_now",148,173,2.3175675675675675
"age, sexual_attraction_M, handedness, religious_upbringing",106,185,3.1226415094339623
"age, sexual_attraction_M, handedness, religious_now",107,202,2.9345794392523366
"age, sexual_attraction_M, religious_upbringing, religious_now",110,179,3.0636363636363635
"age, gender_identity_M, sex, education_level",105,174,3.257142857142857
"age, gender_identity_M, sex, gender_identity_F",87,170,3.9770114942528734
"age, gender_identity_M, sex, handedness",65,218,4.584615384615384
"age, gender_identity_M, sex, religious_upbringing",78,199,4.064102564102564
"age, gender_identity_M, sex, religious_now",77,214,3.9220779220779223
"age, gender_identity_M, education_level, gender_identity_F",166,127,2.3433734939759034
"age, gender_identity_M, education_level, handedness",142,156,2.535211267605634
"age, gender_identity_M, education_level, religious_upbringing",150,146,2.466666666666667
"age, gender_identity_M, education_level, religious_now",141,163,2.50354609929078
"age, gender_identity_M, gender_identity_F, handedness",112,160,3.1785714285714284
"age, gender_identity_M, gender_identity_F, religious_upbringing",129,146,2.868217054263566
"age, gender_identity_M, gender_identity_F, religious_now",117,159,3.051282051282051
"age, gender_identity_M, handedness, religious_upbringing",105,175,3.2476190476190476
"age, gender_identity_M, handedness, religious_now",96,192,3.375
"age, gender_identity_M, religious_upbringing, religious_now",106,171,3.2547169811320753
"age, sex, education_level, gender_identity_F",108,166,3.240740740740741
"age, sex, education_level, handedness",56,192,5.785714285714286
"age, sex, education_level, religious_upbringing",54,181,6.203703703703703
"age, sex, education_level, religious_now",61,195,5.262295081967213
"age, sex, gender_identity_F, handedness",61,205,5.098360655737705
"age, sex, gender_identity_F, religious_upbringing",72,190,4.527777777777778
"age, sex, gender_identity_F, religious_now",68,196,4.705882352941177
"age, sex, handedness, religious_upbringing",33,210,9.272727272727273
"age, sex, handedness, religious_now",33,224,8.848484848484848
"age, sex, religious_upbringing, religious_now",31,202,10.129032258064516
"age, education_level, gender_identity_F, handedness",140,151,2.607142857142857
"age, education_level, gender_identity_F, religious_upbringing",158,139,2.3860759493670884
"age, education_level, gender_identity_F, religious_now",153,145,2.4248366013071894
"age, education_level, handedness, religious_upbringing",54,160,6.592592592592593
"age, education_level, handedness, religious_now",59,175,5.779661016949152
"age, education_level, religious_upbringing, religious_now",62,156,5.806451612903226
"age, gender_identity_F, handedness, religious_upbringing",99,172,3.474747474747475
"age, gender_identity_F, handedness, religious_now",94,177,3.606382978723404
"age, gender_identity_F, religious_upbringing, religious_now",109,165,3.220183486238532
"age, handedness, religious_upbringing, religious_now",35,180,9.6
"sexual_attraction_F, background_SES, sexual_attraction_M, gender_identity_M",95,259,2.705263157894737
"sexual_attraction_F, background_SES, sexual_attraction_M, sex",63,304,3.365079365079365
"sexual_attraction_F, background_SES, sexual_attraction_M, education_level",81,196,3.950617283950617
"sexual_attraction_F, background_SES, sexual_attraction_M, gender_identity_F",101,242,2.712871287128713
"sexual_attraction_F, background_SES, sexual_attraction_M, handedness",57,261,4.473684210526316
"sexual_attraction_F, background_SES, sexual_attraction_M, religious_upbringing",71,248,3.7746478873239435
"sexual_attraction_F, background_SES, sexual_attraction_M, religious_now",61,261,4.180327868852459
"sexual_attraction_F, background_SES, gender_identity_M, sex",70,334,2.6
"sexual_attraction_F, background_SES, gender_identity_M, education_level",104,234,2.7115384615384617
"sexual_attraction_F, background_SES, gender_identity_M, gender_identity_F",105,271,2.3333333333333335
"sexual_attraction_F, background_SES, gender_identity_M, handedness",88,299,2.465909090909091
"sexual_attraction_F, background_SES, gender_identity_M, religious_upbringing",95,290,2.3789473684210525
"sexual_attraction_F, background_SES, gender_identity_M, religious_now",92,297,2.380434782608696
"sexual_attraction_F, background_SES, sex, education_level",68,274,3.5588235294117645
"sexual_attraction_F, background_SES, sex, gender_identity_F",61,321,3.19672131147541
"sexual_attraction_F, background_SES, sex, handedness",41,336,4.390243902439025
"sexual_attraction_F, background_SES, sex, religious_upbringing",51,335,3.549019607843137
"sexual_attraction_F, background_SES, sex, religious_now",39,340,4.512820512820513
"sexual_attraction_F, background_SES, education_level, gender_identity_F",108,228,2.6666666666666665
"sexual_attraction_F, background_SES, education_level, handedness",64,243,4.265625
"sexual_attraction_F, background_SES, education_level, religious_upbringing",78,230,3.6666666666666665
"sexual_attraction_F, background_SES, education_level, religious_now",70,240,3.942857142857143
"sexual_attraction_F, background_SES, gender_identity_F, handedness",85,282,2.7529411764705882
"sexual_attraction_F, background_SES, gender_identity_F, religious_upbringing",102,283,2.284313725490196
"sexual_attraction_F, background_SES, gender_identity_F, religious_now",90,287,2.5444444444444443
"sexual_attraction_F, background_SES, handedness, religious_upbringing",52,301,4.134615384615385
"sexual_attraction_F, background_SES, handedness, religious_now",40,306,5.25
"sexual_attraction_F, background_SES, religious_upbringing, religious_now",49,283,4.755102040816326
"sexual_attraction_F, sexual_attraction_M, gender_identity_M, sex",34,483,0.9705882352941176
"sexual_attraction_F, sexual_attraction_M, gender_identity_M, education_level",46,400,2.5217391304347827
"sexual_attraction_F, sexual_attraction_M, gender_identity_M, gender_identity_F",57,633,-2.0526315789473686
"sexual_attraction_F, sexual_attraction_M, gender_identity_M, handedness",37,471,1.2162162162162162
"sexual_attraction_F, sexual_attraction_M, gender_identity_M, religious_upbringing",41,446,1.7073170731707317
"sexual_attraction_F, sexual_attraction_M, gender_identity_M, religious_now",48,465,1.0625
"sexual_attraction_F, sexual_attraction_M, sex, education_level",27,428,3.259259259259259
"sexual_attraction_F, sexual_attraction_M, sex, gender_identity_F",37,474,1.135135135135135
"sexual_attraction_F, sexual_attraction_M, sex, handedness",15,487,1.9333333333333333
"sexual_attraction_F, sexual_attraction_M, sex, religious_upbringing",19,464,2.736842105263158
"sexual_attraction_F, sexual_attraction_M, sex, religious_now",17,479,2.176470588235294
"sexual_attraction_F, sexual_attraction_M, education_level, gender_identity_F",55,396,2.1818181818181817
"sexual_attraction_F, sexual_attraction_M, education_level, handedness",18,396,6.666666666666667
"sexual_attraction_F, sexual_attraction_M, education_level, religious_upbringing",32,391,3.90625
"sexual_attraction_F, sexual_attraction_M, education_level, religious_now",26,400,4.461538461538462
"sexual_attraction_F, sexual_attraction_M, gender_identity_F, handedness",42,464,1.2380952380952381
"sexual_attraction_F, sexual_attraction_M, gender_identity_F, religious_upbringing",49,443,1.489795918367347
"sexual_attraction_F, sexual_attraction_M, gender_identity_F, religious_now",46,458,1.2608695652173914
"sexual_attraction_F, sexual_attraction_M, handedness, religious_upbringing",18,454,3.4444444444444446
"sexual_attraction_F, sexual_attraction_M, handedness, religious_now",9,469,5.222222222222222
"sexual_attraction_F, sexual_attraction_M, religious_upbringing, religious_now",18,415,5.611111111111111
"sexual_attraction_F, gender_identity_M, sex, education_level",34,456,1.7647058823529411
"sexual_attraction_F, gender_identity_M, sex, gender_identity_F",36,484,0.8888888888888888
"sexual_attraction_F, gender_identity_M, sex, handedness",21,499,0.8095238095238095
"sexual_attraction_F, gender_identity_M, sex, religious_upbringing",22,485,1.4090909090909092
"sexual_attraction_F, gender_identity_M, sex, religious_now",24,493,0.9583333333333334
"sexual_attraction_F, gender_identity_M, education_level, gender_identity_F",54,429,1.6111111111111112
"sexual_attraction_F, gender_identity_M, education_level, handedness",44,431,1.9318181818181819
"sexual_attraction_F, gender_identity_M, education_level, religious_upbringing",47,424,1.9574468085106382
"sexual_attraction_F, gender_identity_M, education_level, religious_now",49,431,1.7346938775510203
"sexual_attraction_F, gender_identity_M, gender_identity_F, handedness",46,486,0.6521739130434783
"sexual_attraction_F, gender_identity_M, gender_identity_F, religious_upbringing",45,462,1.2
"sexual_attraction_F, gender_identity_M, gender_identity_F, religious_now",47,473,0.9148936170212766
"sexual_attraction_F, gender_identity_M, handedness, religious_upbringing",26,475,1.5769230769230769
"sexual_attraction_F, gender_identity_M, handedness, religious_now",27,483,1.2222222222222223
"sexual_attraction_F, gender_identity_M, religious_upbringing, religious_now",41,439,1.8780487804878048
"sexual_attraction_F, sex, education_level, gender_identity_F",29,460,1.9310344827586208
"sexual_attraction_F, sex, education_level, handedness",13,450,5.076923076923077
"sexual_attraction_F, sex, education_level, religious_upbringing",16,445,4.4375
"sexual_attraction_F, sex, education_level, religious_now",14,448,4.857142857142857
"sexual_attraction_F, sex, gender_identity_F, handedness",23,503,0.5652173913043478
"sexual_attraction_F, sex, gender_identity_F, religious_upbringing",23,491,1.0869565217391304
"sexual_attraction_F, sex, gender_identity_F, religious_now",23,500,0.6956521739130435
"sexual_attraction_F, sex, handedness, religious_upbringing",4,491,6.25
"sexual_attraction_F, sex, handedness, religious_now",4,497,4.75
"sexual_attraction_F, sex, religious_upbringing, religious_now",8,460,7.0
"sexual_attraction_F, education_level, gender_identity_F, handedness",36,440,2.111111111111111
"sexual_attraction_F, education_level, gender_identity_F, religious_upbringing",37,431,2.2972972972972974
"sexual_attraction_F, education_level, gender_identity_F, religious_now",42,435,1.9285714285714286
"sexual_attraction_F, education_level, handedness, religious_upbringing",11,425,8.272727272727273
"sexual_attraction_F, education_level, handedness, religious_now",10,427,8.9
"sexual_attraction_F, education_level, religious_upbringing, religious_now",13,404,8.615384615384615
"sexual_attraction_F, gender_identity_F, handedness, religious_upbringing",28,483,1.1785714285714286
"sexual_attraction_F, gender_identity_F, handedness, religious_now",29,492,0.8275862068965517
"sexual_attraction_F, gender_identity_F, religious_upbringing, religious_now",34,449,1.9705882352941178
"sexual_attraction_F, handedness, religious_upbringing, religious_now",9,452,7.111111111111111
"background_SES, sexual_attraction_M, gender_identity_M, sex",63,337,2.8412698412698414
"background_SES, sexual_attraction_M, gender_identity_M, education_level",105,244,2.5904761904761906
"background_SES, sexual_attraction_M, gender_identity_M, gender_identity_F",99,273,2.4545454545454546
"background_SES, sexual_attraction_M, gender_identity_M, handedness",77,306,2.727272727272727
